tournament,year,team,matches_played,wins,goals_for,goals_conceded,stage
fifa world cup,2002,Sweden,4,1,5,5,Round of 16
fifa world cup,2002,Argentina,3,1,2,2,Group Stage
fifa world cup,2002,Cameroon,3,1,2,3,Group Stage
fifa world cup,2002,China PR,3,0,0,9,Group Stage
fifa world cup,2002,Costa Rica,3,1,5,6,Group Stage
fifa world cup,2002,Croatia,3,1,2,3,Group Stage
fifa world cup,2002,Ecuador,3,1,2,4,Group Stage
fifa world cup,2002,France,3,0,0,3,Group Stage
fifa world cup,2002,Nigeria,3,0,1,3,Group Stage
fifa world cup,2002,Poland,3,1,3,7,Group Stage
fifa world cup,2002,Portugal,3,1,6,4,Group Stage
fifa world cup,2002,Russia,3,1,4,4,Group Stage
fifa world cup,2002,Saudi Arabia,3,0,0,12,Group Stage
fifa world cup,2002,Slovenia,3,0,2,7,Group Stage
fifa world cup,2002,South Africa,3,1,5,5,Group Stage
fifa world cup,2002,Tunisia,3,0,1,5,Group Stage
fifa world cup,2002,Uruguay,3,0,4,5,Group Stage
afc asian cup,2004,Japan,6,4,13,6,Champion
afc asian cup,2004,China PR,6,3,13,6,Runner-up
afc asian cup,2004,Bahrain,6,1,13,14,Semi-Finalist
afc asian cup,2004,Iran,6,3,14,8,Semi-Finalist
afc asian cup,2004,Iraq,4,2,5,7,Quarter-Finalist
afc asian cup,2004,Jordan,4,1,3,1,Quarter-Finalist
afc asian cup,2004,South Korea,4,2,9,4,Quarter-Finalist
afc asian cup,2004,Uzbekistan,4,3,5,2,Quarter-Finalist
afc asian cup,2004,Indonesia,3,1,3,9,Round of 16
afc asian cup,2004,Kuwait,3,1,3,7,Round of 16
afc asian cup,2004,Oman,3,1,4,3,Round of 16
afc asian cup,2004,Qatar,3,0,2,4,Round of 16
afc asian cup,2004,Saudi Arabia,3,0,3,5,Round of 16
afc asian cup,2004,Thailand,3,0,1,9,Round of 16
afc asian cup,2004,Turkmenistan,3,0,4,6,Round of 16
afc asian cup,2004,United Arab Emirates,3,0,1,5,Round of 16
african cup of nations,2004,Tunisia,6,4,10,4,Champion
african cup of nations,2004,Morocco,6,4,14,4,Runner-up
african cup of nations,2004,Mali,6,3,10,10,Semi-Finalist
african cup of nations,2004,Nigeria,6,4,11,5,Semi-Finalist
african cup of nations,2004,Algeria,4,1,5,7,Quarter-Finalist
african cup of nations,2004,Cameroon,4,1,7,6,Quarter-Finalist
african cup of nations,2004,Guinea,4,1,5,5,Quarter-Finalist
african cup of nations,2004,Senegal,4,1,4,2,Quarter-Finalist
african cup of nations,2004,Benin,3,0,1,8,Round of 16
african cup of nations,2004,Burkina Faso,3,0,1,6,Round of 16
african cup of nations,2004,DR Congo,3,0,1,6,Round of 16
african cup of nations,2004,Egypt,3,1,3,3,Round of 16
african cup of nations,2004,Kenya,3,1,4,6,Round of 16
african cup of nations,2004,Rwanda,3,1,3,3,Round of 16
african cup of nations,2004,South Africa,3,1,3,5,Round of 16
african cup of nations,2004,Zimbabwe,3,1,6,8,Round of 16
copa américa,2004,Brazil,6,3,13,6,Champion
copa américa,2004,Argentina,6,4,16,6,Runner-up
copa américa,2004,Colombia,6,3,7,7,Semi-Finalist
copa américa,2004,Uruguay,6,3,12,10,Semi-Finalist
copa américa,2004,Costa Rica,4,1,3,8,Quarter-Finalist
copa américa,2004,Mexico,4,2,5,7,Quarter-Finalist
copa américa,2004,Paraguay,4,2,5,5,Quarter-Finalist
copa américa,2004,Peru,4,1,7,6,Quarter-Finalist
copa américa,2004,Bolivia,3,0,3,4,Round of 16
copa américa,2004,Chile,3,0,2,4,Round of 16
copa américa,2004,Ecuador,3,0,3,10,Round of 16
copa américa,2004,Venezuela,3,0,2,5,Round of 16
uefa euro,2004,Greece,6,4,7,4,Champion
uefa euro,2004,Portugal,6,3,8,6,Runner-up
uefa euro,2004,Czech Republic,5,4,10,5,Semi-Finalist
uefa euro,2004,Netherlands,5,1,7,6,Semi-Finalist
uefa euro,2004,Denmark,4,1,4,5,Quarter-Finalist
uefa euro,2004,England,4,2,10,6,Quarter-Finalist
uefa euro,2004,France,4,2,7,5,Quarter-Finalist
uefa euro,2004,Sweden,4,1,8,3,Quarter-Finalist
uefa euro,2004,Bulgaria,3,0,1,9,Round of 16
