tournament,year,team,group
afc asian cup,2011,Qatar,A
afc asian cup,2011,Uzbekistan,A
afc asian cup,2011,Japan,B
afc asian cup,2011,Jordan,B
afc asian cup,2011,Saudi Arabia,B
afc asian cup,2011,Syria,B
afc asian cup,2011,Australia,C
afc asian cup,2011,Bahrain,C
afc asian cup,2011,India,C
afc asian cup,2011,South Korea,C
afc asian cup,2011,Iran,D
afc asian cup,2011,Iraq,D
afc asian cup,2011,North Korea,D
afc asian cup,2011,United Arab Emirates,D
copa américa,2011,Argentina,A
copa américa,2011,Bolivia,A
copa américa,2011,Colombia,A
copa américa,2011,Costa Rica,A
copa américa,2011,Brazil,B
copa américa,2011,Ecuador,B
copa américa,2011,Paraguay,B
copa américa,2011,Venezuela,B
copa américa,2011,Chile,C
copa américa,2011,Mexico,C
copa américa,2011,Peru,C
copa américa,2011,Uruguay,C
gold cup,2011,Costa Rica,A
gold cup,2011,Cuba,A
gold cup,2011,El Salvador,A
gold cup,2011,Mexico,A
gold cup,2011,Grenada,B
gold cup,2011,Guatemala,B
gold cup,2011,Honduras,B
gold cup,2011,Jamaica,B
gold cup,2011,Canada,C
gold cup,2011,Guadeloupe,C
gold cup,2011,Panama,C
gold cup,2011,United States,C
african cup of nations,2012,Equatorial Guinea,A
african cup of nations,2012,Libya,A
african cup of nations,2012,Senegal,A
african cup of nations,2012,Zambia,A
african cup of nations,2012,Angola,B
african cup of nations,2012,Burkina Faso,B
african cup of nations,2012,Ivory Coast,B
african cup of nations,2012,Sudan,B
african cup of nations,2012,Gabon,C
african cup of nations,2012,Morocco,C
african cup of nations,2012,Niger,C
african cup of nations,2012,Tunisia,C
african cup of nations,2012,Botswana,D
african cup of nations,2012,Ghana,D
african cup of nations,2012,Guinea,D
african cup of nations,2012,Mali,D
uefa euro,2012,Czech Republic,A
uefa euro,2012,Greece,A
uefa euro,2012,Poland,A
uefa euro,2012,Russia,A
uefa euro,2012,Denmark,B
uefa euro,2012,Germany,B
uefa euro,2012,Netherlands,B
uefa euro,2012,Portugal,B
uefa euro,2012,Croatia,C
uefa euro,2012,Italy,C
uefa euro,2012,Republic of Ireland,C
uefa euro,2012,Spain,C
uefa euro,2012,England,D
uefa euro,2012,France,D
uefa euro,2012,Sweden,D
uefa euro,2012,Ukraine,D
african cup of nations,2013,Angola,A
african cup of nations,2013,Cape Verde,A
african cup of nations,2013,Morocco,A
african cup of nations,2013,South Africa,A
african cup of nations,2013,DR Congo,B
african cup of nations,2013,Ghana,B
african cup of nations,2013,Mali,B
african cup of nations,2013,Niger,B
african cup of nations,2013,Burkina Faso,C
african cup of nations,2013,Ethiopia,C
african cup of nations,2013,Nigeria,C
african cup of nations,2013,Zambia,C
african cup of nations,2013,Algeria,D
african cup of nations,2013,Ivory Coast,D
african cup of nations,2013,Togo,D
