tournament,year,team,stage,pre_tournament_elo,n_matches_form,win_rate,avg_goal_diff,goals_for_per_match,goals_against_per_match,avg_opponent_elo,stage_order,group,avg_group_elo,max_group_elo,elo_minus_avg_group,group_elo_rank
afc asian cup,2004,Iran,Semi-Finalist,1669.38,12,0.917,2.833,3.333,0.5,1521.943,2,D,1605.112,1669.38,64.268,1.0
afc asian cup,2004,Iraq,Quarter-Finalist,1564.68,12,0.375,-0.25,1.167,1.417,1554.367,3,B,1598.3,1688.66,-33.62,4.0
afc asian cup,2004,Jordan,Quarter-Finalist,1647.98,12,0.667,0.583,1.0,0.417,1540.263,3,C,1552.175,1647.98,95.805,1.0
afc asian cup,2004,South Korea,Quarter-Finalist,1584.87,12,0.75,1.167,1.5,0.333,1551.794,3,C,1552.175,1647.98,32.695,2.0
afc asian cup,2004,Uzbekistan,Quarter-Finalist,1567.0,12,0.708,1.0,2.0,1.0,1481.586,3,B,1598.3,1688.66,-31.3,3.0
afc asian cup,2004,Indonesia,Round of 16,1527.76,12,0.458,-0.75,1.083,1.833,1506.059,4,A,1566.815,1591.52,-39.055,4.0
afc asian cup,2004,Kuwait,Round of 16,1475.38,12,0.417,0.167,1.25,1.083,1517.983,4,C,1552.175,1647.98,-76.795,4.0
afc asian cup,2004,Oman,Round of 16,1585.96,12,0.583,1.083,2.083,1.0,1508.953,4,D,1605.112,1669.38,-19.152,3.0
afc asian cup,2004,Qatar,Round of 16,1563.91,12,0.542,0.833,1.5,0.667,1533.325,4,A,1566.815,1591.52,-2.905,3.0
afc asian cup,2004,Saudi Arabia,Round of 16,1688.66,12,0.875,1.667,1.917,0.25,1506.805,4,B,1598.3,1688.66,90.36,1.0
afc asian cup,2004,Thailand,Round of 16,1512.36,12,0.458,0.083,1.417,1.333,1514.201,4,D,1605.112,1669.38,-92.753,4.0
afc asian cup,2004,Turkmenistan,Round of 16,1572.86,12,0.667,1.083,2.167,1.083,1483.7,4,B,1598.3,1688.66,-25.44,2.0
afc asian cup,2004,United Arab Emirates,Round of 16,1500.47,12,0.5,0.167,1.333,1.167,1535.149,4,C,1552.175,1647.98,-51.705,3.0
african cup of nations,2004,Tunisia,Champion,1587.09,12,0.75,0.667,1.167,0.5,1564.954,0,A,1562.255,1598.06,24.835,2.0
african cup of nations,2004,Morocco,Runner-up,1607.61,12,0.667,0.75,1.167,0.417,1520.817,1,D,1570.94,1641.13,36.67,2.0
african cup of nations,2004,Mali,Semi-Finalist,1662.58,12,0.917,1.333,1.667,0.333,1507.264,2,C,1596.02,1662.58,66.56,1.0
african cup of nations,2004,Nigeria,Semi-Finalist,1641.13,12,0.625,0.167,1.333,1.167,1535.265,2,D,1570.94,1641.13,70.19,1.0
african cup of nations,2004,Algeria,Quarter-Finalist,1532.74,12,0.583,0.5,1.333,0.833,1506.102,3,B,1615.208,1658.43,-82.467,4.0
african cup of nations,2004,Cameroon,Quarter-Finalist,1658.43,12,0.542,-0.083,0.583,0.667,1608.954,3,B,1615.208,1658.43,43.223,1.0
african cup of nations,2004,Guinea,Quarter-Finalist,1568.64,12,0.625,0.667,1.333,0.667,1502.499,3,A,1562.255,1598.06,6.385,3.0
african cup of nations,2004,Senegal,Quarter-Finalist,1661.8,12,0.625,0.5,1.25,0.75,1554.16,3,C,1596.02,1662.58,65.78,2.0
african cup of nations,2004,Benin,Round of 16,1458.56,12,0.458,-0.333,1.25,1.583,1487.101,4,D,1570.94,1641.13,-112.38,4.0
african cup of nations,2004,Burkina Faso,Round of 16,1516.69,12,0.542,0.5,1.167,0.667,1534.553,4,C,1596.02,1662.58,-79.33,4.0
african cup of nations,2004,DR Congo,Round of 16,1598.06,12,0.792,1.083,1.917,0.833,1477.89,4,A,1562.255,1598.06,35.805,1.0
african cup of nations,2004,Egypt,Round of 16,1651.69,12,0.833,1.583,2.417,0.833,1570.461,4,B,1615.208,1658.43,36.483,2.0
african cup of nations,2004,Kenya,Round of 16,1543.01,12,0.417,-0.25,1.083,1.333,1495.571,4,C,1596.02,1662.58,-53.01,3.0
african cup of nations,2004,Rwanda,Round of 16,1495.23,12,0.417,-0.583,1.083,1.667,1510.089,4,A,1562.255,1598.06,-67.025,4.0
african cup of nations,2004,South Africa,Round of 16,1576.46,12,0.458,0.0,1.167,1.167,1550.494,4,D,1570.94,1641.13,5.52,3.0
african cup of nations,2004,Zimbabwe,Round of 16,1617.97,12,0.75,1.083,2.0,0.917,1477.269,4,B,1615.208,1658.43,2.763,3.0
copa américa,2004,Brazil,Champion,1745.64,12,0.75,0.917,1.75,0.833,1598.966,0,C,1615.48,1745.64,130.16,1.0
copa américa,2004,Argentina,Runner-up,1719.26,12,0.667,0.5,1.583,1.083,1567.285,1,B,1610.782,1719.26,108.477,1.0
copa américa,2004,Colombia,Semi-Finalist,1598.69,12,0.458,0.167,1.25,1.083,1571.761,2,A,1517.692,1598.69,80.997,1.0
copa américa,2004,Uruguay,Semi-Finalist,1567.04,12,0.375,-0.5,1.833,2.333,1570.279,2,B,1610.782,1719.26,-43.743,3.0
copa américa,2004,Costa Rica,Quarter-Finalist,1584.24,12,0.5,0.417,1.917,1.5,1558.495,3,C,1615.48,1745.64,-31.24,3.0
copa américa,2004,Mexico,Quarter-Finalist,1601.45,12,0.667,2.0,2.667,0.667,1552.456,3,B,1610.782,1719.26,-9.332,2.0
copa américa,2004,Paraguay,Quarter-Finalist,1616.55,12,0.542,-0.083,1.0,1.083,1563.728,3,C,1615.48,1745.64,1.07,2.0
copa américa,2004,Peru,Quarter-Finalist,1503.84,12,0.458,0.167,1.25,1.083,1591.625,3,A,1517.692,1598.69,-13.853,3.0
copa américa,2004,Bolivia,Round of 16,1429.58,12,0.333,-0.917,1.083,2.0,1570.445,4,A,1517.692,1598.69,-88.113,4.0
copa américa,2004,Chile,Round of 16,1515.49,12,0.542,0.167,1.083,0.917,1586.315,4,C,1615.48,1745.64,-99.99,4.0
copa américa,2004,Ecuador,Round of 16,1555.38,12,0.458,0.0,1.333,1.333,1553.882,4,B,1610.782,1719.26,-55.402,4.0
copa américa,2004,Venezuela,Round of 16,1538.66,12,0.5,-0.083,1.083,1.167,1567.445,4,A,1517.692,1598.69,20.967,2.0
uefa euro,2004,Greece,Champion,1627.84,12,0.75,0.417,1.167,0.75,1552.057,0,A,1638.832,1716.46,-10.993,3.0
uefa euro,2004,Portugal,Runner-up,1636.23,12,0.708,1.5,2.583,1.083,1512.377,1,A,1638.832,1716.46,-2.602,2.0
uefa euro,2004,Czech Republic,Semi-Finalist,1670.36,12,0.792,2.0,2.917,0.917,1557.621,2,D,1607.085,1670.36,63.275,1.0
uefa euro,2004,Netherlands,Semi-Finalist,1669.83,12,0.583,1.333,2.0,0.667,1571.185,2,D,1607.085,1670.36,62.745,2.0
uefa euro,2004,Denmark,Quarter-Finalist,1633.53,12,0.583,0.083,1.25,1.167,1533.928,3,C,1633.588,1691.25,-0.058,2.0
uefa euro,2004,England,Quarter-Finalist,1640.1,12,0.708,0.917,1.917,1.0,1554.3,3,B,1644.132,1767.56,-4.033,2.0
uefa euro,2004,France,Quarter-Finalist,1767.56,12,0.917,2.0,2.167,0.167,1572.586,3,B,1644.132,1767.56,123.428,1.0
uefa euro,2004,Sweden,Quarter-Finalist,1608.39,12,0.542,0.667,1.75,1.083,1544.962,3,C,1633.588,1691.25,-25.197,3.0
uefa euro,2004,Bulgaria,Round of 16,1601.18,12,0.625,0.75,1.583,0.833,1532.265,4,C,1633.588,1691.25,-32.408,4.0
uefa euro,2004,Croatia,Round of 16,1639.46,12,0.667,0.417,1.333,0.917,1558.783,4,B,1644.132,1767.56,-4.672,3.0
uefa euro,2004,Germany,Round of 16,1620.31,12,0.625,0.75,1.833,1.083,1537.975,4,D,1607.085,1670.36,13.225,3.0
uefa euro,2004,Italy,Round of 16,1691.25,12,0.792,1.417,2.083,0.667,1571.312,4,C,1633.588,1691.25,57.662,1.0
uefa euro,2004,Latvia,Round of 16,1467.84,12,0.542,0.0,1.25,1.25,1526.983,4,D,1607.085,1670.36,-139.245,4.0
uefa euro,2004,Russia,Round of 16,1574.8,12,0.458,0.083,1.417,1.333,1531.856,4,A,1638.832,1716.46,-64.033,4.0
uefa euro,2004,Spain,Round of 16,1716.46,12,0.833,1.833,2.25,0.417,1529.052,4,A,1638.832,1716.46,77.628,1.0
uefa euro,2004,Switzerland,Round of 16,1529.41,12,0.417,-0.417,1.083,1.5,1561.266,4,B,1644.132,1767.56,-114.722,4.0
gold cup,2005,United States,Champion,1696.4,12,0.75,1.583,2.167,0.583,1567.158,0,B,1598.935,1696.4,97.465,1.0
gold cup,2005,Panama,Runner-up,1463.05,12,0.208,-1.167,0.333,1.5,1559.695,1,A,1556.712,1621.09,-93.663,4.0
gold cup,2005,Colombia,Semi-Finalist,1621.09,12,0.542,0.417,1.333,0.917,1627.595,2,A,1556.712,1621.09,64.377,1.0
gold cup,2005,Honduras,Semi-Finalist,1587.78,12,0.542,0.5,1.25,0.75,1555.84,2,A,1556.712,1621.09,31.067,2.0
gold cup,2005,Costa Rica,Quarter-Finalist,1573.77,12,0.542,0.083,1.333,1.25,1554.641,3,B,1598.935,1696.4,-25.165,3.0
gold cup,2005,Jamaica,Quarter-Finalist,1652.97,12,0.875,2.833,3.25,0.417,1519.781,3,C,1635.575,1722.9,17.395,2.0
gold cup,2005,Mexico,Quarter-Finalist,1722.9,12,0.667,0.5,1.417,0.917,1654.246,3,C,1635.575,1722.9,87.325,1.0
gold cup,2005,South Africa,Quarter-Finalist,1628.85,12,0.708,0.5,1.333,0.833,1529.973,3,C,1635.575,1722.9,-6.725,3.0
gold cup,2005,Canada,Round of 16,1510.19,12,0.417,0.0,1.25,1.25,1545.418,4,B,1598.935,1696.4,-88.745,4.0
gold cup,2005,Cuba,Round of 16,1615.38,12,0.75,1.167,1.833,0.667,1526.293,4,B,1598.935,1696.4,16.445,2.0
gold cup,2005,Guatemala,Round of 16,1537.58,12,0.458,0.083,1.583,1.5,1578.523,4,C,1635.575,1722.9,-97.995,4.0
gold cup,2005,Trinidad and Tobago,Round of 16,1554.93,12,0.458,-0.083,1.333,1.417,1551.666,4,A,1556.712,1621.09,-1.783,3.0
african cup of nations,2006,Egypt,Champion,1670.98,12,0.583,0.75,1.833,1.083,1578.928,0,A,1632.975,1691.67,38.005,2.0
african cup of nations,2006,Ivory Coast,Runner-up,1691.67,12,0.708,1.0,1.917,0.917,1570.955,1,A,1632.975,1691.67,58.695,1.0
african cup of nations,2006,Nigeria,Semi-Finalist,1689.07,12,0.667,0.833,1.917,1.083,1553.044,2,D,1631.428,1689.07,57.642,1.0
african cup of nations,2006,Senegal,Semi-Finalist,1672.49,12,0.667,0.75,1.75,1.0,1566.982,2,D,1631.428,1689.07,41.062,2.0
african cup of nations,2006,Cameroon,Quarter-Finalist,1685.23,12,0.708,0.5,1.5,1.0,1589.725,3,B,1619.93,1685.23,65.3,1.0
african cup of nations,2006,DR Congo,Quarter-Finalist,1541.1,12,0.458,-0.333,1.167,1.5,1581.281,3,B,1619.93,1685.23,-78.83,4.0
african cup of nations,2006,Guinea,Quarter-Finalist,1592.5,12,0.583,0.0,1.333,1.333,1530.303,3,C,1618.688,1679.4,-26.188,3.0
african cup of nations,2006,Tunisia,Quarter-Finalist,1679.4,12,0.75,0.75,1.667,0.917,1600.618,3,C,1618.688,1679.4,60.713,1.0
african cup of nations,2006,Angola,Round of 16,1609.06,12,0.5,-0.083,1.083,1.167,1557.517,4,B,1619.93,1685.23,-10.87,3.0
african cup of nations,2006,Ghana,Round of 16,1576.74,12,0.667,0.833,1.5,0.667,1560.876,4,D,1631.428,1689.07,-54.688,4.0
african cup of nations,2006,Libya,Round of 16,1509.03,12,0.25,-1.0,0.417,1.417,1586.179,4,A,1632.975,1691.67,-123.945,4.0
african cup of nations,2006,Morocco,Round of 16,1660.22,12,0.75,1.333,1.917,0.583,1560.544,4,A,1632.975,1691.67,27.245,3.0
